Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
111,ACHBTC,200295654.45725822,2025-02-03 10:23:00,3.7036999999999995e-07,0.07418350154132725,2025-02-03 12:42:00,3.6963e-07,0.07403528275703636,-0.2964375685967285,-0.003996003996003812,Long,Closed,111
112,ACHBTC,96234683.39485833,2025-02-03 16:21:00,3.7036999999999995e-07,0.03564243968894942,2025-02-03 21:40:00,4.0959e-07,0.03941676397170002,3.6992650790856993,0.10378821178821207,Long,Closed,112
113,ACHBTC,93825486.11742093,2025-02-03 23:56:00,4.204199999999999e-07,0.039446110873484486,2025-02-04 00:52:00,4.0959e-07,0.038429980858834444,-1.094006106383977,-0.027734194377051217,Long,Closed,113
114,ACHBTC,174675568.36452302,2025-02-04 01:17:00,4.3042999999999997e-07,0.07518560489113213,2025-02-04 02:39:00,4.1958e-07,0.07329037497438656,-2.0437058966205894,-0.027182143437957215,Long,Closed,114
115,ACHBTC,230798080.59847915,2025-02-04 08:14:00,3.7036999999999995e-07,0.08548068511124995,2025-02-04 08:37:00,3.6963e-07,0.08530989453161586,-0.34158115928572064,-0.003996003996003663,Long,Closed,115
116,ACHBTC,207602356.58383858,2025-02-04 08:46:00,3.8037999999999997e-07,0.0789677843973493,2025-02-04 12:39:00,3.7962e-07,0.07881000660635681,-0.31555558200741607,-0.003996003996003761,Long,Closed,116
117,ACHBTC,93619730.46727562,2025-02-04 13:29:00,3.9039e-07,0.036548206577116105,2025-02-04 18:34:00,4.1958e-07,0.0392809665094595,2.6569307592531994,0.07269661108122656,Long,Closed,117
118,ACHBTC,97315802.3906986,2025-02-04 23:41:00,4.003999999999999e-07,0.038965247277232606,2025-02-05 00:29:00,3.8961e-07,0.037915209769440086,-1.126917964842302,-0.0289211038961036,Long,Closed,118
119,ACHBTC,134058346.74980803,2025-02-05 01:11:00,4.1040999999999993e-07,0.055018886089584385,2025-02-05 03:02:00,3.996e-07,0.05356971536122329,-1.5577593298162242,-0.028313174630247576,Long,Closed,119
120,ACHBTC,142151568.59237337,2025-02-05 06:11:00,4.0039999999999996e-07,0.056917488064378574,2025-02-05 07:03:00,3.8961e-07,0.05538367263927459,-1.6461165858153508,-0.02892110389610357,Long,Closed,120
121,ACHBTC,120190037.09266134,2025-02-05 12:02:00,4.0039999999999996e-07,0.04812409085189984,2025-02-05 13:02:00,3.8961e-07,0.04682724035167178,-1.3918018314333804,-0.02892110389610372,Long,Closed,121
122,ACHBTC,195006856.46434754,2025-02-05 15:50:00,3.9039000000000004e-07,0.07612872669510296,2025-02-05 16:05:00,3.7962e-07,0.07402850285099562,-2.250381073667117,-0.02956020902174724,Long,Closed,122
123,ACHBTC,94379417.49957824,2025-02-05 20:30:00,3.8037999999999997e-07,0.035900042828487244,2025-02-05 21:29:00,3.6963e-07,0.034885464090369106,-1.085364245039319,-0.030232951259266894,Long,Closed,123
